target,target
ឥតគិតថ្លៃសម្រាប់ទាំងអស់គ្នា ... រាត្រីល្អ ខ្ញុំមានន័យថាវាជារាត្រីដ៏ល្អ wateva,positive
ទាញគ្រប់ទិសទាំងមិនដឹងទៅណា,negative
ខ្ញុំជាសិស្សច្បង។ខ្ញុំគួរតែរួចហើយ។,neutral
មែនហើយ នរណាម្នាក់កំពុងទទួលបានល្អបំផុតពីខ្ញុំ។,negative
ការប្រើបំពង់ yahoo ដើម្បីបញ្ចូលគ្នានូវមតិព័ត៌មាន - អាចធ្វើបាន និងអាចទុកចិត្តបាន។,positive
ពេលខ្លះសារឥតបានការលេចធ្លាយចូលទៅក្នុងផ្ទាំងសារ។,neutral
វាចម្លែកណាស់ដែលវានៅលើភ្លៅរបស់ខ្ញុំប្រហែលជានោះជាឆ្មារបស់អ្នក O : s:,negative
មិនអីទេ ព្រោះខ្ញុំមានអារម្មណ៍ដូចគ្នា....,neutral
ទីបំផុត X-Men Origins: Wolverine បានមកដល់ហើយ ដល់ពេលលេងហ្គេមដូចមនុស្សឆ្កួត ហើយបន្ទាប់មកវាដល់ពេលសម្រាប់ការពិនិត្យឡើងវិញ / Patrick,neutral
ស្រឡាញ់​អ្នក​ទាំង​អស់​គ្នា​ហើយ​មិន​អាច​រង់​ចាំ​ការ​ចេញ​ផ្សាយ​ជា​ផ្លូវ​ការ​បាន​ទេ គ្រាន់​តែ​ចង់​ដឹង​ថា តើ softsynths/DAW ទាំង 3 រូប​ណា​ត្រូវ​បាន​ប្រើ​លើ​វា?,positive
អរគុណសម្រាប់ការបង្ហោះប្លក់ដ៏ល្អ!ទោះយ៉ាងណាក៏ដោយ គួរតែត្រូវបានផ្តល់កិត្តិយសមួយចំនួនចាប់តាំងពីគាត់បានធ្វើយ៉ាងហោចណាស់ពាក់កណ្តាលនៃការងារលើវា។,positive
Christina បាននិយាយថានាងនឹង twitter បន្ថែមទៀត ... មិនមានដៃគូទៀតទេ,neutral
អ្នក​រួម​ការងារ​មួយ​ចំនួន​ចូល​រួម​ក្នុង​ប្រអប់​លេង​ហ្គេម​នៅ Union Jacks។,neutral
ខ្ញុំស្រឡាញ់អ្នកខ្លាំងណាស់ tay (: អ្នកពិតជាអស្ចារ្យណាស់ <3 អ្នកគួរតែមកប្រទេសដាណឺម៉ាក យើងស្រឡាញ់អ្នកនៅទីនេះ,positive
ការ​ទិញ​អង្កាំ​ភ្លឺ​ចាំង​ស្អាត និង​របស់​ដែល​ខ្ញុំ​មាន​អារម្មណ៍​ថា​ជា​នារី​ណាស់។http://elisem.livejournal.com/1473318.html,neutral
រីករាយជាមួយខ្យល់ត្រជាក់នៅឆ្នេរសមុទ្រ។វាជួយឱ្យខ្ញុំសម្រាក និងបន្ធូរអារម្មណ៍។,positive
យើងគួរតែរាំបែបហ្នឹងជារឿងល្អបំផុត ហាហា។ជួបគ្នាថ្ងៃស្អែក។,positive
'មិនអាច Stevie ឆ្ងល់ទេ?'gabe គ្រាន់តែហៅខ្ញុំថា sleepypants gaby ។,neutral
ទេ New orleans.. នៅទីនេះតាំងពី katrina..,neutral
ខ្ញុំ​មិន​ជឿ​ថា​ថ្ងៃ​សុក្រ​នេះ​ហើយ!អូ ខ្ញុំបានធ្វើអ្វី?!,negative
ពិធីជប់លៀងបញ្ចប់ការសិក្សារបស់ Alix!,neutral
តើអ្នកវាយវាដោយរបៀបណា?យើង​មិន​បាន​ខិត​ជិត​នោះ​ទេ។,neutral
ស្ដាយដែលខ្ញុំមិនមានថេប្លេតគូរ!,negative
#musicmonday រឿងដែលល្អជាងគេពី Kate Nash,positive
ខ្ញុំគ្រាន់តែត្រូវការដេក,neutral
សំណាងបានទៅ!ច្រណែន!,negative
ថ្មីៗនេះខ្ញុំភ្ញាក់ពីគេងជាមួយព្រះអាទិត្យនៅលើមុខរបស់ខ្ញុំ ប៉ុន្តែមិនមែនថ្ងៃនេះទេ..,neutral
_x វាមានតែនៅក្នុង glasgow ប៉ុណ្ណោះ។,neutral
"ហា, សំណើដំបូងសម្រាប់ការផ្ញើឯកសារចម្លងនៃនិក្ខេបបទរបស់ខ្ញុំ",neutral
មិនទន្ទឹងរង់ចាំការបើកបរក្នុងព្យុះនេះ។,negative
"omg រីករាយណាស់ក្នុងការមើលទន្សាយផ្ទះ, courtois ledge សម្រាប់ផ្ញើ link ឱ្យខ្ញុំ <3",positive
imma miss dem KObe និង Bron ការផ្សាយពាណិជ្ជកម្ម wen cleveland ត្រូវ​បាន​គោះ​ចេញ​តើ​ពួកគេ​កំប្លែង,neutral
អរគុណបុរស!ខ្ញុំសូមសរសើរ!អ្នក​រ៉ុក។,positive
ចង់បានសក់ថ្មី!និយាយឱ្យត្រង់ទៅ មិននិយាយជាមួយខ្ញុំទេ។,neutral
ចង់ឃើញគាត់អាក្រក់ណាស់។,negative
ខ្ញុំគ្រាន់តែគិតថាតើខ្ញុំរំភើបប៉ុណ្ណាដែលអ្នកបានផ្លាស់ទី ប៉ុន្តែបន្ទាប់មកខ្ញុំដឹងថាខ្ញុំសោកសៅប៉ុណ្ណាដែលបានឃើញអ្នកទៅ។,neutral
ពិតជាសុំទោស ព្រោះខ្ញុំទន្ទឹងរង់ចាំវា.. គិតថាវាសប្បាយ ហើយអ្នកចង់ស្តាប់វា. Iow you a beer.,neutral
ខ្ញុំ​មិន​បាន​ឈឺ​នេះ​ច្រើន​ឆ្នាំ​មក​ហើយ។OMGនេះអាក្រក់ណាស់។ជម្ងឺបានបញ្ចប់រួមទាំងការសម្អាតបន្ទប់ទឹកពេញលេញ។,negative
.. តើបទចម្រៀងនៅឯណា?,neutral
"ធ្វើការ... ហើយព្យាយាមរក្សាកំប្រុកឱ្យឆ្ងាយ.............. កំប្រុក 1, jesska 0 ខ្ញុំគួរតែនៅជាប់នឹងសត្វពីងពាង",negative
*shrugs* ខ្ញុំក៏ធ្វើអញ្ចឹងដែរ តែវាកំប្លែងពេក បូកអ្នកដឹងថាអ្នកចូលចិត្តវា Tweet **** .. Love you..,positive
"s/s aus fshionwk- zimmermann, illionare, dhini + gail sorronda, ស្នេហាបានកើត, លីសាហូ, CASSETTE SOCIETY-ស្រឡាញ់ tutu, balmain រំភើប?",positive
ថ្ងៃ​របស់​ខ្ញុំ​ក្រៀម​ក្រំ​រហូត​ចង់​យំ។,negative
ខ្ញុំ​មាន​មិត្ត​ភក្តិ​២​នាក់​ច្រណែន​ណាស់,negative
សោកសៅដែលនឹងត្រូវចាកចេញពីផ្ទះល្វែងដ៏ស្រស់ស្អាតរបស់ខ្ញុំ,neutral
នៅតែចង់បានឈីសប៊ឺហ្គឺ។,neutral
អ្នកមិននិយាយទេ។,neutral
ផឹកតែមួយពែង ត្រជាក់ៗ ឆ្ងាញ់ណាស់!,positive
មិនដែលដឹងថា #Techmeme ល្អប៉ុនណាទេ ទាល់តែខ្ញុំអានវា (ហាស!) ក្នុងនាមជាអ្នកអាន Tech Crunch ម្នាក់នេះ ប្រសើរជាង...,positive
ធ្វើអោយស្រីពេញ 120%,neutral
ហេហេ។តើអ្នកសុខសប្បាយជាទេ?,neutral
Radio Royals AM Transmitter ចេញហើយថ្ងៃនេះ... មិនល្អទេ អ្នកណាខ្លះមានកន្លែងទំនេរក្នុងរោងរបស់អ្នក... lol,negative
 LOL. Wow. That`s good.  Haha I still can`t believe it`s mother`s day.,positive
គ្រាន់តែឃើញ UP វាជារឿងដ៏គួរឲ្យស្រលាញ់មួយ (៖ ឆ្លងកាត់កន្លែងមួយហៅថា ផ្ទះបាយកសិករ។ wtf? that names kinda sad,neutral
វាត្រូវតែឆ្លងកាត់ទឹក និងទាំងអស់។គ្រាន់តែខូចថ្លៃ,negative
ស្មានថាខ្ញុំនឹងសាកល្បងគេងម្តងទៀត 2 ថ្ងៃ ប៉ុន្តែដោយសារកូនរបស់ខ្ញុំមិនទាន់បានសហការជាមួយវានៅសប្តាហ៍នេះ ខ្ញុំប្រាកដថា 2 ថ្ងៃនឹងមិនខុសគ្នាទេ,negative
ហើយដូច្នេះសប្តាហ៍មួយទៀតចាប់ផ្តើម។មួយនេះត្រូវតែប្រសើរជាងចុងក្រោយ,positive
ខ្ញុំតាមអ្នក!ខ្ញុំកំពុងតាមអ្នក!ខ្ញុំសុំទោស!hahaha ខ្ញុំនឹកអ្នក!,negative
_Bear ខ្ញុំចូលចិត្តអ្នក។,positive
ខ្ញុំ​ត្រូវ​ការ​ការងារ ប៉ុន្តែ​គ្មាន​អ្នក​ណា​ជួល​ទេ។,negative
នៅតាមផ្លូវត្រឡប់ទៅ dublin Omg អត់បានបុកគ្រែរហូតដល់ម៉ោង 530 អញ្ចឹងខ្ញុំងងុយដេកណាស់ ប៉ុន្តែម្តងទៀតនៅលើផ្លូវត្រឡប់ទៅ ole dublin ល្អវិញ :-p ...,neutral
ថ្ងៃនេះខ្ញុំមិនចង់ធ្វើការ 10 ម៉ោងទេ!ខ្ញុំ​ចង់​ខ្សឹប​អ្វី​ដែល​ផ្អែម​ល្ហែម​ដាក់​ក្នុង​ត្រចៀក​ទូរសព្ទ​មិត្ត​ស្រី។,negative
អ៊ិនធឺណិត 1 គំនូរ 0 ....**** ខ្ញុំកំពុងបម្រុងទុកឯកសារ Blackberry ដែលអាចចំណាយពេលរាប់ម៉ោងបន្ទាប់មកដើម្បីរៀបចំគំនូររួចរាល់,negative
ពេល​ដែល​ខ្ញុំ​ត្រូវ​ធ្វើ​ការ​សម្រេច​ចិត្ត​បែប​នោះ ខ្ញុំ​តែង​តែ​ជ្រើស​រើស​ពណ៌​ខ្មៅ......,neutral
ខ្ញុំ​មាន​ជំងឺ​ឈឺ​ជើង និង​គូទ។,negative
ហេតើអ្នកនៅចក្រភពអង់គ្លេសនៅពេលណា?,neutral
សង្ឃឹមថាអ្នកមានថ្ងៃសម្រាកដ៏រីករាយ!!!សង្ឃឹម​ថា​អ្នក​បាន​ជូនពរ​អ្នក​ឱ្យ​បាន​ល្អ​,positive
ត្រូវ​ទៅ​ធ្វើ​ការ​ដោយ​ហត់​បន្តិច gd nite thou,neutral
រីករាយទិវាអ្នកម្តាយ VICKY!!!!ហើយ​ចំពោះ​អ្នក​ម្ដាយ​ទាំង​អស់​ដែល​បាន​អាន​នេះ!!!,positive
ខ្ញុំ​ត្រូវ​កម្ដៅ​ថ្ងៃ​នៅ​លើ​ដៃ ហើយ​ខ្ញុំ​បាន​រលាក​មាត់ ហើយ​ស្បែក​ខ្លះ​បាន​ចេញ,negative
នៅផ្ទះព្រោះខ្ញុំអាក្រក់។,positive
ពិតជាអាក្រក់ក៏ជាបុរាណផងដែរ។,neutral
ថ្ងៃកំណើតរបស់ខ្ញុំចុងសប្តាហ៍!រកមិនឃើញកន្លែងដែលអតីតរបស់ខ្ញុំលាក់សំបុត្រ DANE COOK របស់យើងសម្រាប់ថ្ងៃស្អែក !!!WTF នោះជាអ្វីដែលខ្ញុំចង់បានសម្រាប់ថ្ងៃកំណើតរបស់ខ្ញុំ,negative
ថ្នាំលាបអ្នកបោះឆ្នោតគ្រាន់តែលាបស្បែកខ្ញុំ។ឬប្រហែលជាស្បែករបស់ខ្ញុំទើបតែរបូតចេញជាមួយនឹងថ្នាំលាបអ្នកបោះឆ្នោត,negative
ភ្ញាក់ ~ n ~ ដុតនំថ្ងៃចន្ទ,neutral
" I can`t say I`ve tried, but then again, I haven`t tried with a sword either   Not yet, anyway.",neutral
ចុងសប្តាហ៍នេះប្រហែលជាល្អបំផុត ហើយនៅមានថ្ងៃទៀតដែលត្រូវទៅ!!,positive
TestFest គឺជាជោគជ័យដ៏អស្ចារ្យម្តងទៀត,positive
ថ្ងៃនេះគ្មានអាងទេ។អាកាសធាតុឆោតល្ងង់។,negative
@_YoureMyHeroine :`( ខ្ញុំពិតជាដឹងថាអ្នកមានអារម្មណ៍យ៉ាងណា។ ខ្ញុំចង់ឱបអ្នក។,neutral
គាត់មិនចេញលឿនទេ?,neutral
ខ្ញុំនឹងទៅអេស្តូនី!ហូហូ!!,neutral
_stjohn នោះគឺជាអ្វីដែលយើងសង្ឃឹម!,neutral
ខ្ញុំមានន័យថាមើលទៅដូចខ្លា - អត្ថបទទស្សន៍ទាយឆោតល្ងង់,negative
ទើបតែបញ្ចប់ការលេងម៉ាជុង។ខ្ញុំបានបាត់បង់ 38 ដុល្លារទៅ Mag និង Weisheng!,negative
គេហទំព័រថ្មីរបស់ខ្ញុំជាប់គាំងនៅក្នុង Google sandpit ឥឡូវនេះ សាកល្បងជំនាញរបស់ខ្ញុំរហូតដល់វាចេញមក!,neutral
សូមអរគុណ ហើយឥឡូវនេះខ្ញុំនៅលើ twitter!,positive
ខ្ញុំអផ្សុកណាស់!ប៊ុត..ជិត​២​ថ្ងៃ​ខ្ញុំ​ចេញ​ទៅ​បារាំង!,negative
ដើម្បីយកឈ្នះលើព្រួញអ្វីក៏ដោយ ដែលសត្រូវអាចព្យាយាម និងបញ្ឈប់អ្នក។យើងត្រូវតែផ្តោតលើ tweetz!ព្រះប្រទានពរអ្នក។,positive
_kimmeh ខ្ញុំក៏នឹកដែរ។ទោះយ៉ាងណាក៏ដោយ ខ្ញុំនឹង #humthestump ពេញមួយជីវិតរបស់ខ្ញុំ។,negative
មិន​អាច​ជួយ​បាន​ប៉ុន្តែ​មាន​អារម្មណ៍​ថា​ថ្ងៃ​នេះ​នឹង​ជា​ថ្ងៃ​ពាក្យ​ចចាមអារ៉ាម Michael Jackson ដ៏​ធំ​។[Cue all the MJ haters...],negative
I`ve just about made it all the way round the park jogging. Quite pleased for my 6th outing,neutral
ipod ស្លាប់ថ្ងៃនេះ,negative
ឡានថ្មីស្អាតណាស់,positive
ខួបកំណើតកូនស្រី!!ធ្វីត ធ្វីត ស៊យ,negative
ម្រាមដៃរបស់ខ្ញុំឈឺ,negative
តាម​ដាន​អ្នក​គាំទ្រ #ជម្រក​ថ្មី​ផ្សេង​ទៀត!ទស្សនាភាពអស្ចារ្យនៃ #SanctuarySunday !!!រីករាយដែលបានជួបអ្នកទាំងអស់គ្នា!,positive
G4 ពណ៌ខៀវចាស់គឺយឺតពេកក្នុងការសរសេរកូដឥឡូវនេះ ខ្ញុំមានកុំព្យូទ័រយួរដៃដែលខ្ញុំបានខ្ចីពីការងារ ++ អនុញ្ញាតឱ្យខ្ញុំអង្គុយលេងនៅពេលខ្ញុំរុករក។,negative
_ess តាំងពី T នឹងទៅឆ្ងាយ - មក TUCSON !!!,neutral
បានឃើញការបង្ហាញភ្លឹបភ្លែតៗពីពិធីជប់លៀង tmobile ។ខ្ញុំមិនចេះនិយាយ,neutral
កិច្ចការផ្ទះ។អ៊ី fml ។តើខ្ញុំគួរទាញពេញមួយយប់ទេ?ខ្ញុំគិតថាខ្ញុំនឹងត្រូវម្តងទៀត,neutral
នៅពេលអ្នកទៅ LMK ។តោះទៅជាមួយគ្នា,positive
watching my tiny nephew  perfect baby,positive
រីករាយទិវាអ្នកម្តាយទាំងអស់គ្នា វាជាការងារដ៏លំបាក ប៉ុន្តែពិតជាមានតម្លៃណាស់!,positive
ខ្ញុំបានបោះបង់ចោល tumblr ពីព្រោះ API មិនបានចង្អុលទៅគណនីឯកជនទេ។,negative
"Oh insomnia, I hate you. I`m bored of staring at my ceiling, cano go sleepnow please?",negative
ម៉ោងពីរសូមមកលឿនជាង,neutral
: nooo ខ្ញុំមិនដឹងថាហេតុអ្វី...ខ្ញុំចុចលើ TweetDeck_0_25_manual_Blink182.air ហើយវាមិនដំណើរការទេ!!ក្រៀមក្រំណាស់...,negative
_arcelay http://twitpic.com/4xvw2 - ខ្ញុំ​ត្រូវ​បាន​បុរស​ឆី​ហួ​ហួរ​ដេញ​តាម​ដែល​មើល​ទៅ​ដូច​ជា​មាន​ផ្ទៃ​ពោះ​ថ្ងៃ​នេះ​គាត់​ខ្មៅ​ហើយ...,neutral
បានដើរទៅផ្ទះក្នុងភ្លៀង។,neutral
ahaha មិនអីទេ ហើយអរគុណ,positive
ហើយហេតុអ្វីបានជាអ្នកទាំងពីរឈ្លោះគ្នា?,neutral
ជាការពិតណាស់ twitter គឺជាកន្លែងដែលវានៅជាមួយមិត្តរួមការងារ វាកើតឡើងនៅទីនេះ។រីករាយ។សង្ឃឹមថានឹងបានជួបអ្នក.. http://twurl.nl/j4o1xe,positive
ខ្ញុំគ្រាន់តែចង់និយាយថា៖ ទាំងអ្នកទាំង Taylor Swift និង Hayley Williams មានសំលេងពិរោះ និងគួរឲ្យស្រលាញ់!,positive
កំពុងមើល h&a!ទទួលបានរូបថតថ្មីសម្រាប់បន្ទប់របស់ខ្ញុំកំពុងរង់ចាំ Ulise ទៅផ្ទះ។,neutral
I have been playing skate for two hours. Now i need to get out and actually skate. But it`s too late,negative
ប្រសិនបើដ្រាយត្រូវបានច្រានចោលដោយស្វ័យប្រវត្តិនូវឌីសដែលគាំទ្រ (ឧ. CD-R) ហើយអ្នកមិនអាចចាប់ផ្ដើមពីឌីសបានទេ វាជាពេលវេលាសម្រាប់ AppleCare,neutral
omfg. one of the worst days ever!,negative
i love the dreambears!.. i want a **** best friend!,positive
ROFL - ខ្ញុំផងដែរ។,neutral
_louise bless ya... ខ្ញុំដឹងថាអារម្មណ៍នោះល្អណាស់!,positive
ធ្វើការកំឡុងពេលបញ្ចប់ការសិក្សា។ខ្មាស់គេមែន។,negative
Penguins ឈ្នះក្នុង OT ប្រហែលជាហេតុអ្វីបានជាអ្នករវល់។មួយប្រកួតទៀតដើម្បីឈ្នះ។,neutral
Dang ខ្ញុំគួរតែជាប់គាំងជាមួយគាត់ក្នុងការជ្រើសរើស Fantasy របស់ខ្ញុំ,neutral
...អូ។hahahahahaha ប៉ុន្តែអត់ទេ ខ្ញុំប្រាប់បុគ្គលិកដែលរង់ចាំថា ពួកគេមើលទៅអស្ចារ្យគ្រប់ពេល វាជារឿងដែលស្រួលធ្វើបំផុត,positive
រថភ្លើងក្រោមដី ខ្ញុំនឹងទៅរថភ្លើងក្រោមដី .... ស្រឡាញ់វា!ញ៉ាំវាញឹកញាប់ពេលខ្ញុំនៅ New Zealand...,positive
ថ្ងៃទី 15 ខែមិថុនា តើអ្នកនឹងទៅចុះហត្ថលេខានៅថ្ងៃទី 18 ខ្ញុំគិតថាវាមែនទេ?x,neutral
តើអ្នកកំពុងរចនាអ្វី?,neutral
"ឬ Green Day: មហាវិថីនៃក្តីសុបិន្តដែលខូច, រារាំង: បបូរមាត់របស់ទេវតា, Howie Day: បុក - នោះគឺជាបទចម្រៀងដ៏ល្អ។",positive
ទស្សនា snl ព្រោះតែស្រលាញ់ជីវិតខ្ញុំ hosting,positive
១១:១១ ខ្ញុំបានសំរេចបំណងមួយ។,neutral
ស្តាប់ Maylene ហើយឆ្ងល់ថាហេតុអ្វីបានជាខ្ញុំមិនអាចដកដុំដែកភាគខាងត្បូងដ៏ត្រជាក់ជាច្រើនដូចពួកវា,negative
Tony កំសត់ណាស់ មកលេង Scrabble លើ facebook!,negative
ស្ញប់ស្ញែង,neutral
តាមខ្ញុំ??,neutral
ខ្ញុំចូលចិត្តរបស់ App ទាំងនេះ វាល្អមែនទែន bro ។,positive
អា!ហ្គោតឆា។មែនហើយ ខ្ញុំចង់ដឹងចង់ឮថាអ្នកគិតយ៉ាងណាចំពោះ Wolverine នៅពេលនោះ។(ប្រសិនបើអ្នកពិតជាបានទៅនិងបានឃើញវា) ។,positive
យប់​នេះ​ចង់​ធ្វើ​អ្វី​មួយ​ក្រោយ​ពី​ធ្វើ​ការ​ តែ​អត់​ដឹង​ធ្វើ​អី​ទេ...,neutral
ឡានរបស់ខ្ញុំមានសំឡេងរោទិ៍ & immobilizer ដូច្នេះវាធ្វើឱ្យវាស្មុគស្មាញមិនគួរឱ្យជឿនិងថ្លៃដើម!ខ្ញុំ​គ្មាន​លេខ​កូដ​សម្រាប់ immobiliser ទេ។,negative
សួស្តី TwitterFon ។ខ្ញុំរីករាយណាស់ដែលអ្នកត្រលប់មកវិញ,positive
ខ្ញុំគិតថាអ្នកគួរធ្វើតាមខ្ញុំ។ដូចដែលខ្ញុំមានតែអ្នកដើរតាម។សូមតាមដានខ្ញុំ,positive
ម្រាមដៃឆ្លងកាត់សម្រាប់អ្នក។,neutral
៖ អស្ចារ្យ។ប្រាប់ខ្ញុំថាតើវាល្អទេ។ខ្ញុំប្រហែលជាមើលវា។,positive
"@ MGM grand, mraz នៅលើឆាក!មិនមានឧបករណ៍បើកខាងក្រោយទ្វេដងទេ។អនុស្សាវរីយ៍ចាស់ៗជាច្រើនបានហូរត្រលប់មកវិញ",positive
មិនច្រើនទេ... ហ៊ឺម ផលិតផលនៅអាមេរិក មិនមែននៅកាណាដា??Idk តើអ្នកមាន covergirl ទេ?,neutral
ជិតរួចរាល់ហើយសម្រាប់បេតាថ្មី.... រហូតដល់យើងរកឃើញបញ្ហាដែលកំពុងដំណើរការ សូមរង់ចាំ។,negative
*ឱប* ហេតុអ្វី?,neutral
@ បងប្អូនស្រីរបស់ខ្ញុំយំស្រក់ទឹកភ្នែក ប្តីហៅមកពីប្រទេសអ៊ីរ៉ាក់ បាននិយាយរយៈពេល 2 នាទីបានឮសំឡេងលេចចេញពីផ្ទៃខាងក្រោយ ហើយការហៅទូរសព្ទក៏ធ្លាក់ចុះ។,negative
ផ្ទះរបស់ខ្ញុំក្រៀមក្រំណាស់ មើលទៅដោយគ្មានគ្រឿងសង្ហារឹម ពូកខ្យល់នៅក្នុងនោះអស់រយៈពេល 2 យប់ ហើយបន្ទាប់មកខ្ញុំត្រូវបានផ្លាស់ប្តូរជាផ្លូវការពី Knoxville ។,negative
អូហូ... វាក្លាយជាពណ៌ប្រផេះម្តងទៀតនៅទីនេះ។ខ្ញុំសង្ឃឹមថាវាមិនមែនជា 'ផ្កាឈូកដែលលេចឡើង' នៅតាមផ្លូវនោះទេ។,negative
នារីដែលអ្នកដឹងថាភាពស្រស់ស្អាតមានតម្លៃ,neutral
ពុកម៉ែខ្ញុំ!6 headshots inna row?ខ្ញុំនៅលើ fyaaahhh!,negative
វាជាការចាប់ផ្តើម និងចុងបញ្ចប់នៃរដូវក្តៅរបស់ខ្ញុំជាផ្លូវការ។អូសាលារដូវក្តៅ,neutral
អូយ... ចូលចិត្តណាស់!!ប៉ុន្តែគួរឲ្យស្តាយ ខ្ញុំមិនត្រូវបានដេញថ្លៃនៅ #twpp យប់នេះទេ។,negative
ខ្ញុំចាប់អ្នកនៅវិនាទីចុងក្រោយ,neutral
អុញ។ជើង​ខ្ញុំ​មាន​អារម្មណ៍​ថា​នឹង​ធ្លាក់​ចេញ។,negative
ចូលគេង ស្អែកទៅកូរ៉េវិញ។,neutral
 Hell yes. I`m too late.,negative
ប្រហែល​ជា​ពួកគេ​មើល​ឃើញ​ថា​វា​ជា​កំណែ Twitter នៃ​ការ​ទាញ​សក់​របស់​អ្នក​ណា​ម្នាក់?ប្រាប់ខ្ញុំថាតើវាដំណើរការសម្រាប់អ្នកឬអត់។,negative
ខ្ញុំកំពុងផ្សាយពាណិជ្ជកម្ម 4 មូលដ្ឋានគ្រឹះ Make-A-Wish ហើយខ្ញុំមិនអាចរកឃើញរូបថតក្មេងៗដែលមើលទៅជិតស្លាប់ទេ... នោះជារឿងល្អសម្រាប់កុមារ,neutral
សួស្តី Isla!ខ្ញុំសង្ឃឹមថាវាធ្វើផងដែរ។,positive
នៅសល់តែ ៥ នាទីទៀត ទើបកូនខ្ញុំចេញពីធ្វើការ,neutral
ត្រូវការភីហ្សាខ្លះ...មិនអាចចេញពីការិយាល័យបានទេ។,neutral
Bollywood fims & egyptian tea,neutral
ខ្ញុំ​កំពុង​មាន​ការ​ស្រេក​ឃ្លាន​ការ​ជក់​បារី​យ៉ាង​ខ្លាំង... ចូល​ទៅ​ផ្ទះ​បាយ ទុក​ឱ្យ​អ្នក​មិន​ជក់​បារី​ឡើង​ទម្ងន់​ចាប់​ផ្ដើម,neutral
ខូចចិត្តខ្លាំង!!!,negative
ដំបង​និង​ថ្ម​អាច​នឹង​បាក់​ឆ្អឹង​ខ្ញុំ... ប៉ុន្តែ​ពាក្យ​សម្ដី​នឹង​ឈឺ​ចាប់​ជា​រៀង​រហូត។,negative
ដល់ម៉ោងហើយ ត្រៀមទៅធ្វើការ,neutral
ហេ Kevin!មែនហើយ មួយនេះនឹងពិបាកណាស់ - មិនដេកច្រើនទេ។អូ៎ នៅសល់តែ 8 ម៉ោងទៀតទេ,negative
អូទេ!!!!!ភ្លៀងធ្លាក់លើក្បួនដង្ហែរសមុទ្រពិភពលោក http://yfrog.com/0wvnpj,negative
ខ្ញុំស្រលាញ់ Please Don't Leave Me by Pink!,neutral
អរគុណសម្រាប់ចម្លើយដែលខ្ញុំឆ្ងល់ពេញមួយសប្តាហ៍,positive
back time.  I wish I was a teenager again. I wish I could feel healthy again. I can`t remember what it`s like to feel healthy anymore.,negative
ខ្ញុំដែរ!ខ្ញុំចង់និយាយថាអ្នកណា unfollow,positive
@_NyLana_ អេ!រីករាយថ្ងៃបុណ្យម្ដាយ!,positive
ដំណាក់កាលទី 2 បានជោគជ័យ។ការរកឃើញដោយខ្លួនឯងគឺសំខាន់ណាស់។ដំណាក់កាលទី 3 នៅសល់តែប៉ុន្មាននាទីប៉ុណ្ណោះ។ឡូយ និង ឡូយណាស់កូន!ស្រែក 2 'D' មែនហើយ!,positive
_preet haha ​​ហេតុផលមួយក្នុងចំណោមហេតុផលជាច្រើនដែលខ្ញុំស្រលាញ់អ្នក។,positive
ស្វាគមន៍ជានិច្ចសម្លាញ់!*អោប*,positive
ថ្ងៃចុងក្រោយនៃកម្មវិធីទូរទស្សន៍ជាមួយសហការីរបស់យើងពីទីក្រុងស៊ីដនី ប៉ារីស ទីក្រុងឡុងដ៍...,neutral
_tweets ខ្ញុំប្រាថ្នាថាខ្ញុំអាចនៅទីនោះ ដើម្បីផ្តល់ការឱបដ៏ធំបំផុតដល់អ្នកនៅពេលនេះ។ខ្ញុំសុំទោស ខ្ញុំមិនអាចនឹកស្មានថាវាឈឺចាប់ប៉ុណ្ណាទេ។,neutral
លឿនពេកហើយសម្រាប់ខ្ញុំ ហើយចង់ញ៉ាំអាហារថ្ងៃត្រង់ល្អ... មានពេលល្អ។,positive
 Is It The Bit Where Hollie Started Crying?,neutral
ទីបំផុត​ទៅ​ផ្ទះ​វិញ​បន្ទាប់​ពី​ញ៉ាំ​អាហារ​ពេល​ល្ងាច និង​ផឹក​ស៊ី​ជាមួយ​មិត្តភ័ក្ដិ។ចូលគេងហើយ សង្ឃឹមថាគ្រែមិនវិលពេក,positive
ហេហេហេហេ,positive
បន្ទាប់មកឈប់ស្នាក់នៅពេញមួយយប់,neutral
ខ្ញុំទើបតែបានស្តាប់ 2 'មិនអីទេ' វាល្អណាស់ ខ្ញុំចូលចិត្តវា .. ខ្ញុំបានគិតអំពីអាបថូម៉ាសពេញមួយបទទាំងមូល .. luv ya,positive
 I am soooo disapoointed I couldn`t make it  I will be there next time! Glad it was productive.,neutral
ទើបតែចូល Twitter ហេហេ,neutral
_dubs ជេរអ្នកអ្នកស្រុក igloo!!,negative
ហាហាហាហាហាហា.. សង្ឃឹមថាអ្នកនឹងចូលចិត្ត,positive
_លី ខ្ញុំស្រលាញ់ហើយនឹកអានី!!,neutral
អូ អតីតមិត្តរួមបន្ទប់របស់ខ្ញុំនឹងចាកចេញនៅថ្ងៃនេះ,neutral
is awake.  Still feeling sick.     But I got the blog done at least. http://plurk.com/p/x17t9,positive
នាំខ្ញុំទៅជាមួយអ្នក eric,neutral
Today felt so much more crazy than it was!!  I digg the new addition to the family! there pretty cool,positive
រាត្រី​សប្បាយ​ចៃដន្យ ឥឡូវ​ខ្ញុំ​នៅ​ផ្ទះ.. រីករាយ​ថ្ងៃ​បុណ្យ​ម្ដាយ!,positive
